HSTR_MNNMB,ETC_PCMTT,임도명,시설거리(km),개설연도,FRRD_FCLTW,FRRD_DV_I,FRRD_DV_B,FRRD_INSTT,FRRD_MGC,FRRD_RGSNO,RBP_X,RBP_Y,REP_X,REP_Y,MAP_LABEL,FR_TH_DV,FR_TH_YR,FRRD_THM,Shape_Leng,지역,위도,경도,상세주소,읍면동
0.0,,어천,12.44,1992,3.5,1,1,62,1400481,동부_양양_1992_04,1077694.9733,2034664.8065,1081970.1521,2037782.2641,92양양_04,,,,5524.88625316,강원특별자치도,38.309055712838536,128.38866966401,"선유실리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
0.0,,탑동,3.0,2012,3.5,1,1,62,1400481,동부_양양_2012_01,1079858.7929,2036202.3899,1081225.2507,2037173.8601,12양양_01,,,,1180.57982347,강원특별자치도,38.32272118189599,128.41359026801652,"선유실리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
0.0,임도화,고성산,0.93,2016,3.5,1,2,62,1400481,동부_양양_2016_04,1083605.7333,2039098.5953,1082852.6656,2039426.3404,16양양_04,,,,857.887881518,강원특별자치도,38.34847754592987,128.45679330603448,"탑동길, 탑동리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
0.0,,장신,6.9,1991,3.5,1,1,62,1400481,동부_양양_1991_04,1077136.8939,2033228.6051,1076542.2808,2035866.3879,91양양_04,,,,2852.39976291,강원특별자치도,38.29616176365968,128.38213033780204,"흘리, 간성읍, 고성군, 강원특별자치도, 24742, 대한민국",간성읍
0.0,,탑동,2.0,2021,4.5,1,3,62,1400481,동부_양양_2021_02,1079028.4723,2036171.3668,1079812.06298,2037195.70483,21양양_02,,,,358.895613047,강원특별자치도,38.32251522599258,128.4040889680857,"선유실리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
0.0,,어천,3.1,1991,3.5,1,1,62,1400481,동부_양양_1991_05,1076137.1996,2033689.5718,1077694.9733,2034664.8065,91양양_05,,,,2361.5155275,강원특별자치도,38.30040112242496,128.37074880514217,"간성읍, 고성군, 강원특별자치도, 24742, 대한민국",간성읍
0.0,군부대 (전술도로)-임도화,향로봉,9.95,2009,3.5,1,2,62,1400481,동부_양양_2009_01,1075123.8228,2029746.8152,1071476.6164,2034130.4945,09양양_01,,,,7431.49337261,강원특별자치도,38.26495661832044,128.35874176538667,"북면, 인제군, 강원특별자치도, 24605, 대한민국",북면
0.0,,19서흥(뒷골),2.5,2019,4.0,1,1,61,1400440,북부_인제_2019-03,1057137.772,2024310.1779,1057775.8402,2025332.7444,19인제_03,,,,1997.2483766,강원특별자치도,38.21728644091577,128.15271895718647,"심적리, 서화면, 인제군, 강원특별자치도, 24600, 대한민국",서화면
0.0,((자료부재-임도화)),08대암산,9.8,2008,4.5,1,1,61,1400440,북부_인제_2008_04,1052905.6393,2018216.9949,1054464.1333,2023865.9214,08인제_04,,,,10327.5005752,강원특별자치도,38.1626328883642,128.1039217483025,"가아리, 인제읍, 인제군, 강원특별자치도, 24623, 대한민국",인제읍
0.0,,20원당,2.0,2020,4.0,1,3,61,1400727,북부_민북_2020_01,1051204.4791,2021075.1295,1051350.7444,2022353.3947,20민북_01,,,,2145.32513758,강원특별자치도,38.18848910228607,128.0847096133646,"숨골로310번길, 원당리, 동면, 양구군, 강원특별자치도, 24511, 대한민국",동면
