지역,임도명,시설거리(km),개설연도,위도,경도,상세주소,읍면동
강원특별자치도,어천,12.44,1992,38.309055712838536,128.38866966401,"선유실리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
강원특별자치도,탑동,3.0,2012,38.32272118189599,128.41359026801652,"선유실리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
강원특별자치도,고성산,0.93,2016,38.34847754592987,128.45679330603448,"탑동길, 탑동리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
강원특별자치도,장신,6.9,1991,38.29616176365968,128.38213033780204,"흘리, 간성읍, 고성군, 강원특별자치도, 24742, 대한민국",간성읍
강원특별자치도,탑동,2.0,2021,38.32251522599258,128.4040889680857,"선유실리, 간성읍, 고성군, 강원특별자치도, 24739, 대한민국",간성읍
강원특별자치도,어천,3.1,1991,38.30040112242496,128.37074880514217,"간성읍, 고성군, 강원특별자치도, 24742, 대한민국",간성읍
강원특별자치도,향로봉,9.95,2009,38.26495661832044,128.35874176538667,"북면, 인제군, 강원특별자치도, 24605, 대한민국",북면
강원특별자치도,19서흥(뒷골),2.5,2019,38.21728644091577,128.1527189571865,"심적리, 서화면, 인제군, 강원특별자치도, 24600, 대한민국",서화면
강원특별자치도,08대암산,9.8,2008,38.1626328883642,128.1039217483025,"가아리, 인제읍, 인제군, 강원특별자치도, 24623, 대한민국",인제읍
강원특별자치도,20원당,2.0,2020,38.18848910228607,128.0847096133646,"숨골로310번길, 원당리, 동면, 양구군, 강원특별자치도, 24511, 대한민국",동면
강원특별자치도,10덕곡,5.1,2010,38.19811098597214,128.0142924197694,"금강산로1505번길, 덕곡리, 동면, 양구군, 강원특별자치도, 24508, 대한민국",동면
강원특별자치도,12상무룡,2.61,2012,38.16708030188283,127.92965740002842,"상무룡로, 상무룡리, 양구읍, 양구군, 강원특별자치도, 24516, 대한민국",양구읍
강원특별자치도,19금악,2.6,2019,38.17166423170971,127.94275034913152,"군량리, 양구읍, 양구군, 강원특별자치도, 24514, 대한민국",양구읍
강원특별자치도,군전술(도사un고지),4.2,2012,38.20218549247138,128.00474387113357,"도고터널, 방산면, 양구군, 강원특별자치도, 24501, 대한민국",방산면
강원특별자치도,23산불고방산,2.2,2023,38.19984979805363,128.00368758561646,"학령터널, 도사리, 방산면, 양구군, 강원특별자치도, 24512, 대한민국",방산면
강원특별자치도,13상무룡(Ⅰ),1.6,2013,38.16863564159976,127.921807110782,"상무룡로, 금악리, 양구읍, 양구군, 강원특별자치도, 24504, 대한민국",양구읍
강원특별자치도,20명월,1.16,2020,38.14992764342245,127.52834260339124,"수피령로, 다목리, 사내면, 화천군, 강원특별자치도, 24104, 대한민국",사내면
강원특별자치도,15명월(만산령Ⅱ),1.6,2015,38.15024893617012,127.5303862462471,"수피령로, 다목리, 사내면, 화천군, 강원특별자치도, 24104, 대한민국",사내면
강원특별자치도,14만산령,6.79,2014,38.14439625270464,127.54963186627133,"만산동로, 구운리, 상서면, 화천군, 강원특별자치도, 24105, 대한민국",상서면
강원특별자치도,15구운,2.04,2015,38.14547907857919,127.55574100828645,"만산동로, 구운리, 상서면, 화천군, 강원특별자치도, 24105, 대한민국",상서면
강원특별자치도,20파포,3.66,2020,38.14246286989757,127.60298250957987,"만산동로, 구운리, 상서면, 화천군, 강원특별자치도, 24105, 대한민국",상서면
강원특별자치도,95잠곡,4.0,1995,38.14294193670443,127.47214105121785,"근남면, 철원군, 강원특별자치도, 24065, 대한민국",근남면
강원특별자치도,15명월(관사촌),2.14,2015,38.149537329226966,127.53045552175855,"수피령로, 명월리, 사내면, 화천군, 강원특별자치도, 24148, 대한민국",사내면
강원특별자치도,08용화동,2.01,2008,38.14536466051591,127.35541393840126,"신철원리, 철원군, 강원특별자치도, 24051, 대한민국",신철원리
강원특별자치도,92잠곡,8.4,1992,38.13097319298958,127.45103642774389,"잠곡리, 근남면, 철원군, 강원특별자치도, 24065, 대한민국",근남면
강원특별자치도,17신철원,3.32,2017,38.15248253395609,127.35210383844888,"신철원리, 철원군, 강원특별자치도, 24051, 대한민국",신철원리
강원특별자치도,석포(봉화-삼척),7.2,1993,37.057078283219376,129.14464702707633,"석포면, 봉화군, 경상북도, 대한민국",석포면
강원특별자치도,9호선,0.6,2017,37.7770551289714,127.81439589753612,"봉명길, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
강원특별자치도,9호선,0.6,2018,37.77741050591532,127.8198599657669,"봉명길, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
강원특별자치도,9호선,0.6,2019,37.77620809148394,127.8257318742663,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
강원특별자치도,11호선,0.72,2024,37.809100324837786,127.84491514786303,"성동로, 북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
강원특별자치도,5호선,9.6,2000,37.82182758334925,127.85171269471948,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
강원특별자치도,4호선,6.18,1996,37.79041177720112,127.816736035474,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
강원특별자치도,8호선,1.86,2016,37.803820694052426,127.79796929293276,"원창리, 춘천시, 강원특별자치도, 24409, 대한민국",원창리
강원특별자치도,10호선,0.9,2020,37.79738347971772,127.79805080793189,"원창리, 춘천시, 강원특별자치도, 24409, 대한민국",원창리
강원특별자치도,7호선,1.44,2015,37.7941567437623,127.80622771642074,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
강원특별자치도,1호선,4.46,1992,37.79301517456967,127.83142168453205,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
강원특별자치도,3호선,5.82,1996,37.76821700648141,127.82712455294612,"봉명리, 춘천시, 강원특별자치도, 24410, 대한민국",봉명리
강원특별자치도,2호선,7.33,1994,37.80760772093315,127.8513869416691,"성동로, 북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
강원특별자치도,6호선,2.4,2013,37.77446067259457,127.84679953985508,"강원도자연환경연구공원 생태문화탐방로 구절산코스, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
강원특별자치도,6호선,1.15,2014,37.77048105025973,127.84467826587456,"강원도자연환경연구공원 생태문화탐방로 구절산코스, 동산면, 춘천시, 강원특별자치도, 24410, 대한민국",동산면
강원특별자치도,11호선,1.7,2022,37.80380610602252,127.83484461919966,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
강원특별자치도,11호선,1.5,2023,37.80600195333064,127.84403007930324,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
강원특별자치도,11호선,0.8,2023,37.80600195333064,127.84403007930324,"북방리, 북방면, 홍천군, 강원특별자치도, 25113, 대한민국",북방면
강원특별자치도,22갈운,2.2,2022,37.53142433264093,127.80201739899957,"경강로, 서원면, 양평군, 경기도, 대한민국",서원면
강원특별자치도,22산수,2.2,2022,37.72723634703114,127.65850377889431,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
강원특별자치도,18하오안,1.21,2018,37.67130908451231,127.86858521150174,"중앙고속도로, 연봉리, 홍천읍, 홍천군, 강원특별자치도, 25117, 대한민국",홍천읍
강원특별자치도,24발산,1.2,2024,37.71969690760477,127.62800690768876,"한덕발산길, 남면, 춘천시, 강원특별자치도, 24469, 대한민국",
강원특별자치도,24한덕,2.0,2024,37.72320454400069,127.64552410563688,"산수리, 춘천시, 강원특별자치도, 24467, 대한민국",산수리
강원특별자치도,24운계,1.1,2024,37.2091153707283,127.92125445418408,"운계리, 원주시, 강원특별자치도, 26501, 대한민국",운계리
강원특별자치도,24매지,1.84,2024,37.24028341251339,127.92610194711747,"매지임도, 흥업면, 원주시, 강원특별자치도, 26494, 대한민국",흥업면
강원특별자치도,98매지,3.01,1998,37.24037303979225,127.89828360044577,"북원로, 흥업면, 원주시, 강원특별자치도, 26500, 대한민국",흥업면
강원특별자치도,99매지,3.96,1999,37.24272204544597,127.91579819793009,"매지임도, 흥업면, 원주시, 강원특별자치도, 26494, 대한민국",흥업면
강원특별자치도,17운남-운계,0.92,2017,37.205571388748325,127.90002406170952,"운계다둔길, 귀래면, 원주시, 강원특별자치도, 26501, 대한민국",귀래면
강원특별자치도,16운남,2.1,2016,37.20867882719747,127.90575237703784,"운계다둔길, 귀래면, 원주시, 강원특별자치도, 26501, 대한민국",귀래면
강원특별자치도,15운남,2.1,2015,37.21232584877998,127.91644549730282,"운계리, 원주시, 강원특별자치도, 26501, 대한민국",운계리
강원특별자치도,24병지방,1.4,2024,37.58052218843901,128.08156230158065,"삼거리, 갑천면, 횡성군, 강원특별자치도, 25252, 대한민국",갑천면
강원특별자치도,96병지방,4.7,1996,37.59234351432835,128.0880741342067,"어답산로, 병지방리, 갑천면, 횡성군, 강원특별자치도, 25251, 대한민국",갑천면
