지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),평균지면온도(°C)
90,속초,May-22,18.5,54,9.1,2.2,4.3,24
90,속초,Jun-22,20.9,79,248.7,1.9,6.5,24.8
90,속초,Jul-22,24.3,88,213.1,1.5,6.6,28.5
90,속초,Aug-22,24.6,81,323.7,1.3,6.7,27.2
90,속초,Sep-22,20.3,76,263.8,1.8,5.4,22.7
90,속초,Oct-22,13.9,70,377.1,1.8,5.5,14.6
90,속초,Nov-22,11,55,38.4,1.9,4,9.7
90,속초,Dec-22,-0.2,35,0.7,2.4,2.8,-0.1
90,속초,Jan-23,0.2,45,94.7,2,3.8,0.1
90,속초,Feb-23,2.7,53,43.4,1.9,4.3,1.4
90,속초,Mar-23,9.3,54,10.1,2.1,4.2,9.2
90,속초,Apr-23,12.6,61,57,2.2,5.2,13.9
90,속초,May-23,17,67,81,1.9,5.6,21.2
90,속초,Jun-23,21.9,74,200.1,1.8,5.3,26.1
90,속초,Jul-23,25.8,79,108.2,1.5,6.4,29.6
90,속초,Aug-23,24.7,85,669.6,1.4,6.9,28.5
90,속초,Sep-23,21.7,81,208.2,1.4,6.1,24.3
90,속초,Oct-23,16.4,59,31.4,1.8,3.6,16.4
90,속초,Nov-23,8.8,48,60.1,2.4,3.3,8.2
90,속초,Dec-23,2.3,56,205,2.3,4,1.6
90,속초,Jan-24,0.6,53,11.6,2,3.3,0.3
90,속초,Feb-24,1.9,75,125.7,1.7,6.6,2.2
90,속초,Mar-24,5.7,58,58.6,2.2,4.4,6.6
90,속초,Apr-24,13.9,66,63.4,2.2,4.3,15.3
90,속초,May-24,17.8,61,63.4,2.6,4.1,19
90,속초,Jun-24,22.3,74,133.8,2.1,3.8,25.5
90,속초,Jul-24,26.8,75,109.3,2.4,6.7,27.1
90,속초,Aug-24,27.6,79,46.4,2.1,4.3,30.5
90,속초,Sep-24,22.1,85,457.9,2.2,6.6,23.3
90,속초,Oct-24,16.1,74,143.2,2.1,5.7,15.5
90,속초,Nov-24,10.8,61,17.6,2.5,4.4,8.7
90,속초,Dec-24,3.1,36,3.2,2.8,2.5,0.5
90,속초,Jan-25,1.2,43,14.5,3,3.1,-0.5
90,속초,Feb-25,1.2,34,,3,1.7,0.4
90,속초,Mar-25,6.8,61,98.4,2.8,4.8,6
90,속초,Apr-25,11.7,65,48.2,2.6,4.2,14
90,속초,May-25,16.5,67,72.2,2.4,5,19.1
