amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm,가까운_지점,가까운_기상지점명,기상지점거리_km,지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),일시_dt,지점_clean,지점주소_x,시작일,종료일,지점주소_y,위도,경도
5551.0,41,6551,1540,41650340,4,,0,14,41650,2024,14,127.1682946,37.9352959,경기 포천 신북 갈월 산60,입산자실화,일요일,4.0,2024-04-14,2024,1405,504,포천,7.29771975534628,504.0,포천,2024-04-14,18.8,0.0,1.5,2024-04-14,포천,경기도 포천시 자작동,2021-09-10,2099-12-31,경기도 포천시 자작동,37.8704,127.1807
6206.0,27,6427,1450,27260115,3,,0,1,27260,2024,1,128.70628,35.84982,대구 수성 매호 산16,농막화재,금요일,3.0,2024-03-01,2024,1412,827,경산,4.359955531048394,827.0,경산,2024-03-01,0.6,0.0,3.5,2024-03-01,경산,경상북도 경산시 중방동,2012-12-04,2099-12-31,경상북도 경산시 중방동,35.8243,128.743
4463.0,27,6415,2100,27200103,1,,0,31,27200,2024,31,128.57604,35.82497,대구 남 대명 산224,입산자실화추정,수요일,1.0,2024-01-31,2024,1836,846,대구서구,6.032637061643896,846.0,대구서구,2024-01-31,8.3,0.0,1.3,2024-01-31,대구서,대구광역시 서구 중리동,2021-07-21,2099-12-31,대구광역시 서구 중리동,35.8651,128.531
3656.0,44,6416,1200,44180340,2,,0,1,44180,2024,1,126.63281,36.44645,충남 보령 청소 성연 350-1,보일러과열 추정,목요일,2.0,2024-02-01,2024,1033,618,청양,13.329305122443595,618.0,청양,2024-02-01,2.1,0.0,1.1,2024-02-01,청양,충청남도 청양군 청양읍 정좌리,2015-07-13,2099-12-31,충청남도 청양군 청양읍 정좌리,36.4237,126.7791
555.0,41,6417,1340,41500330,2,,0,3,41500,2024,3,127.43442,37.24294,경기 이천 호법 유산 산29-3,숯재취급부주의,토요일,2.0,2024-02-03,2024,1303,533,백사,9.313730083012285,533.0,백사,2024-02-03,4.3,0.0,0.8,2024-02-03,백사,경기도 이천시 백사면 조읍리,2020-07-11,2024-10-15,경기도 이천시 백사면 조읍리,37.3278,127.4807
8988759000.0,42,5381,1700,42750325,3,강원도 영월군 김삿갓면 영월동로 2585-1,184,11,42750,2022,4,128.6686641,37.1371663,강원도 영월군 김삿갓면 외룡리 산5,화목보일러불씨,금요일,3.0,2022-03-04,2022,1245,527,신동,8.571100216040227,527.0,신동,2022-03-04,5.9,0.0,3.4,2022-03-04,신동,강원특별자치도 정선군 신동읍 예미리,2015-07-13,2023-11-01,강원특별자치도 정선군 신동읍 예미리,37.2111,128.6413
6640000.0,42,5380,920,42730370,2,,0,26,42730,2022,26,127.8659815,37.497934,강원도 횡성군 서원면 창촌리 산12-1,화목보일러재투기,토요일,2.0,2022-02-26,2022,758,339,서원,1.7074912549873986,,,,,,,,,,,,,,
2685000.0,42,5379,1200,42730340,5,,0,17,42730,2022,17,128.1593083,37.514086,강원도 횡성군 갑천면 상대리 산229,원인미상,화요일,5.0,2022-05-17,2022,928,338,둔내,4.627929941813407,,,,,,,,,,,,,,
1304000.0,42,5378,1600,42730330,4,,0,24,42730,2022,24,128.2382836,37.5728384,강원도 횡성군 둔내면 화동리 산209,원인미상,일요일,4.0,2022-04-24,2022,1423,561,청일,7.604840392452897,561.0,청일,2022-04-24,15.3,0.0,1.4,2022-04-24,청일,강원특별자치도 횡성군 청일면 유동리,2015-07-13,2024-09-04,강원특별자치도 횡성군 청일면 유동리,37.5822,128.1528
9172000.0,42,5377,1600,42730320,5,,0,12,42730,2022,12,128.1361892,37.4657718,강원도 횡성군 안흥면 서사리 산274-1,원인미상,목요일,5.0,2022-05-12,2022,1300,583,안흥,1.6741073719444792,583.0,안흥,2022-05-12,16.8,0.0,0.9,2022-05-12,안흥,강원특별자치도 횡성군 안흥면 소사리,2015-07-13,2099-12-31,강원특별자치도 횡성군 안흥면 소사리,37.4646,128.1551
707000.0,42,5376,1500,42730320,6,,0,20,42730,2022,20,128.1488836,37.3911549,강원도 횡성군 안흥면 가천리 산10,산림사업장실화,월요일,6.0,2022-06-20,2022,1325,335,강림,4.014595353107422,,,,,,,,,,,,,,
51897000.0,42,5375,1735,42720380,3,,1,8,42720,2022,8,127.7583269,37.7144871,강원도 홍천군 북방면 원소리 산187,생활쓰레기소각추정,화요일,3.0,2022-03-08,2022,1419,558,팔봉,5.972300185680241,558.0,팔봉,2022-03-08,2.6,0.0,0.8,2022-03-08,팔봉,강원특별자치도 홍천군 서면 팔봉리,1992-11-05,2024-09-10,강원특별자치도 홍천군 서면 팔봉리,37.6861,127.7007
37554000.0,42,5374,1720,42720370,4,,0,12,42720,2022,12,127.5807846,37.6479336,강원도 홍천군 서면 길곡리 산43,잔디밭불씨부주의,화요일,4.0,2022-04-12,2022,1514,558,팔봉,11.376101924295337,558.0,팔봉,2022-04-12,19.0,0.0,1.5,2022-04-12,팔봉,강원특별자치도 홍천군 서면 팔봉리,1992-11-05,2024-09-10,강원특별자치도 홍천군 서면 팔봉리,37.6861,127.7007
376303000.0,42,5373,0,42720340,3,,8,12,42720,2022,12,128.2770733,37.7265193,강원도 홍천군 서석면 생곡리 산41-3,생활쓰레기소각,토요일,3.0,2022-03-12,2022,1409,535,서석,8.367747427902597,535.0,서석,2022-03-12,9.7,0.0,1.5,2022-03-12,서석,강원특별자치도 홍천군 서석면 풍암리,2015-07-13,2023-10-23,강원특별자치도 홍천군 서석면 풍암리,37.717,128.1827
5816000.0,42,5372,1742,42720320,9,,0,22,42720,2022,22,127.997783,37.9068086,강원도 홍천군 두촌면 자온리 산34-12,원인미상,목요일,9.0,2022-09-22,2022,1448,585,신남,8.938609691519456,585.0,신남,2022-09-22,15.5,0.0,0.6,2022-09-22,신남,강원특별자치도 인제군 남면 신풍리,2020-10-23,2023-11-01,강원특별자치도 인제군 남면 신풍리,37.96,128.0742
8869000.0,42,5371,1900,42720320,5,,0,15,42720,2022,15,128.0162339,37.8287155,강원도 홍천군 두촌면 철정리 산37-1,화덕불씨부주의,일요일,5.0,2022-05-15,2022,1736,522,화촌,5.434342702244195,522.0,화촌,2022-05-15,12.4,0.0,1.7,2022-05-15,화촌,강원특별자치도 홍천군 화촌면 주음치리,2021-10-15,2099-12-31,강원특별자치도 홍천군 화촌면 주음치리,37.7871,127.9838
