발생연도,발생일자,발생시간,진화시간_분,주소,시군구,발생원인,피해면적,대형산불여부,평균기온(°C),일강수량(mm),평균 풍속(m/s),기상데이터_출처
2024,20240414,1405,95.0,경기 포천 신북 갈월 산60,포천,입산자실화,0,False,18.34,0.0,1.44,경기도 포천시 자작동
2024,20240301,1412,38.0,대구 수성 매호 산16,수성,농막화재,0,False,-0.2333333333333333,0.0,3.2555555555555555,대구 광역 평균
2024,20240131,1836,144.0,대구 남 대명 산224,남,입산자실화추정,0,False,6.344444444444445,0.0,0.8444444444444444,대구 광역 평균
2024,20240201,1033,87.0,충남 보령 청소 성연 350-1,보령,보일러과열 추정,0,False,2.725,0.0,5.125,충청남도 보령시 오천면 녹도리
2024,20240203,1303,37.0,경기 이천 호법 유산 산29-3,이천,숯재취급부주의,0,False,3.55,0.0,0.8500000000000001,경기도 이천시 백사면 조읍리
2022,20220304,1245,10335.0,강원도 영월군 김삿갓면 외룡리 산5,영월군,화목보일러불씨,184,True,6.1,0.0,2.1,강원특별자치도 영월군 상동읍 내덕리
2022,20220226,758,82.0,강원도 횡성군 서원면 창촌리 산12-1,횡성군,화목보일러재투기,0,False,3.9,3.1666666666666665,3.0,강원특별자치도 횡성군 횡성읍 읍하리
2022,20220517,928,152.0,강원도 횡성군 갑천면 상대리 산229,횡성군,원인미상,0,False,15.6,0.0,1.5,강원특별자치도 횡성군 횡성읍 읍하리
2022,20220424,1423,97.0,강원도 횡성군 둔내면 화동리 산209,횡성군,원인미상,0,False,15.033333333333331,0.0,1.2666666666666666,강원특별자치도 횡성군 횡성읍 읍하리
2022,20220512,1300,180.0,강원도 횡성군 안흥면 서사리 산274-1,횡성군,원인미상,0,False,18.6,0.0,1.5666666666666669,강원특별자치도 횡성군 횡성읍 읍하리
2022,20220620,1325,95.0,강원도 횡성군 안흥면 가천리 산10,횡성군,산림사업장실화,0,False,23.366666666666664,0.0,0.9333333333333332,강원특별자치도 횡성군 횡성읍 읍하리
2022,20220308,1419,196.0,강원도 홍천군 북방면 원소리 산187,홍천군,생활쓰레기소각추정,1,False,1.35,0.0,1.35,강원특별자치도 홍천군 남면 시동리
2022,20220412,1514,126.0,강원도 홍천군 서면 길곡리 산43,홍천군,잔디밭불씨부주의,0,False,16.933333333333334,0.0833333333333333,2.12,강원특별자치도 홍천군 남면 시동리
2022,20220312,1409,,강원도 홍천군 서석면 생곡리 산41-3,홍천군,생활쓰레기소각,8,False,9.316666666666666,0.0833333333333333,1.8333333333333333,강원특별자치도 홍천군 남면 시동리
2022,20220922,1448,174.0,강원도 홍천군 두촌면 자온리 산34-12,홍천군,원인미상,0,False,14.083333333333334,0.0,0.95,강원특별자치도 홍천군 남면 시동리
2022,20220515,1736,84.0,강원도 홍천군 두촌면 철정리 산37-1,홍천군,화덕불씨부주의,0,False,11.2,0.0,1.6833333333333336,강원특별자치도 홍천군 남면 시동리
2022,20220224,1358,109.0,강원도 홍천군 두촌면 역내리 산14-4,홍천군,산업현장실화(공사장용접),1,False,-7.216666666666666,0.0,1.8,강원특별자치도 홍천군 남면 시동리
2022,20220329,1157,243.0,강원도 삼척시 가곡면 탕곡리 산7,삼척시,입산자(담뱃불)실화,1,False,9.116666666666667,0.0,1.75,강원특별자치도 삼척시 근덕면 궁촌리
2022,20220518,2255,785.0,강원도 삼척시 하장면 추동리 산1-1,삼척시,원인미상,2,False,20.666666666666668,0.0,2.25,강원특별자치도 삼척시 근덕면 궁촌리
2022,20221214,449,551.0,강원도 삼척시 근덕면 동막리 산526-1,삼척시,원인미상,5,False,-6.6000000000000005,0.0,3.633333333333333,강원특별자치도 삼척시 근덕면 궁촌리
2022,20221002,1238,122.0,강원도 삼척시 원덕읍 임원리 산379,삼척시,원인미상,0,False,17.0,1.1666666666666667,1.1333333333333335,강원특별자치도 삼척시 근덕면 궁촌리
2022,20220503,1616,114.0,강원도 태백시 장성동 산1,태백시,전신주고압선피복손상불티,0,False,11.92,0.0,2.964,강원 광역 평균
2022,20220222,1432,508.0,강원도 동해시 이로동 산273,동해시,쓰레기소각(생활),4,False,-2.6,0.0,3.2,(산지)강원특별자치도 동해시 신흥동
2022,20220224,1656,74.0,강원도 강릉시 사천면 노동리 산76,강릉시,원인미상,0,False,-1.5285714285714285,0.0,3.2428571428571438,(산지)강원특별자치도 강릉시 왕산면 송현리
2022,20220305,108,9352.0,강원도 강릉시 옥계면 남양리 산453-1,강릉시,방화,4190,True,3.457142857142857,0.0,4.485714285714286,(산지)강원특별자치도 강릉시 왕산면 송현리
2022,20221225,2107,100.0,강원도 강릉시 왕산면 왕산리 산212,강릉시,주택화재비화,0,False,-2.5285714285714285,0.0,2.242857142857143,(산지)강원특별자치도 강릉시 왕산면 송현리
2022,20220604,1116,67.0,강원도 강릉시 왕산면 고단리 산214-1,강릉시,불씨취급부주의,0,False,17.12857142857143,0.0,2.1,(산지)강원특별자치도 강릉시 왕산면 송현리
2022,20220404,1237,203.0,강원도 강릉시 왕산면 왕산리 산210,강릉시,불씨취급부주의,0,False,9.614285714285714,0.0,2.157142857142857,(산지)강원특별자치도 강릉시 왕산면 송현리
2022,20220304,2219,1361.0,강원도 강릉시 성산면 송암리 산114-1,강릉시,원인미상,31,False,8.685714285714285,0.0,3.571428571428572,(산지)강원특별자치도 강릉시 왕산면 송현리
2022,20221205,1332,68.0,강원도 강릉시 주문진읍 향호리 산216,강릉시,원인미상,0,False,-1.557142857142857,0.0,2.0285714285714285,(산지)강원특별자치도 강릉시 왕산면 송현리
