amount,ctprvn_cd,objt_id,end_tm,emd_cd,occu_mt,rn_adres,ar,end_de,sgg_cd,occu_year,occu_de,x,y,adres,resn,occu_day,end_mt,occu_date,end_year,occu_tm
50033,47,3859,1145,47113119,04,,0,05,47113,2019,05,14399491.20654,4310320.30206,경상북도 포항시 북구 창포동 산76-4,입산자 실화추정,금요일,04,20190405,2019,0924
5551,41,6551,1540,41650340,4,,0,14,41650,2024,14,14156309.79961,4570289.31847,경기 포천 신북 갈월 산60,입산자실화,일요일,4,20240414,2024,1405
0,41,1833,1250,41610340,01,,0,11,41610,2016,11,14168836.6,4503485.431,경기도 광주시 퇴촌면 산92,쓰레기 소각,월요일,01,20160111,2016,1100
638,41,3720,1400,41410108,03,,0,09,41410,2019,09,14127948.64,4484150.631,경기도 군포시 대야미동 산59-3,농산폐기물 소각,토요일,03,20190309,2019,1309
6206,27,6427,1450,27260115,3,,0,1,27260,2024,1,14327517.5514965,4279976.46351893,대구 수성 매호 산16,농막화재,금요일,3,20240301,2024,1412
0,47,1692,1300,47230122,06,,0,10,47230,2015,10,14352838,4302707.927,경상북도 영천시 도림동 890-1,쓰레기소각,수요일,06,20150610,2015,1111
0,42,1691,1739,42810320,06,,0,09,42810,2015,09,14285445.66,4606444.003,강원도 인제군 북면 용대리 산91,기타(직접입력),화요일,06,20150609,2015,1703
0,27,1690,1420,27140123,06,,0,09,27140,2015,09,14328673.5,4286593.823,대구광역시 동구 각산동 산46-1,기타(직접입력),화요일,06,20150609,2015,1319
0,11,1689,1240,11620101,06,,0,09,11620,2015,09,14133264.3,4503340.19,서울특별시 관악구 봉천동 산4-2,담뱃불실화,화요일,06,20150609,2015,1107
0,30,1688,1648,30110107,06,,0,08,30110,2015,08,14190589.74,4342630.875,대전광역시 동구 판암동 산30-6,등산객실화,월요일,06,20150608,2015,1620
0,41,1687,1230,41650350,06,,0,08,41650,2015,08,14160979.54,4578388.799,경기도 포천시 창수면 가양리 산5,등산객실화,월요일,06,20150608,2015,1115
0,41,1686,1330,41650340,06,,0,08,41650,2015,08,14153631.18,4573804.091,경기도 포천시 신북면 갈월리 336-2,등산객실화,월요일,06,20150608,2015,1110
0,41,1685,1930,41310106,06,,0,07,41310,2015,07,14149627.58,4518406.284,경기도 구리시 아천동 산51,방화,일요일,06,20150607,2015,1730
0,29,1684,1720,29200155,06,,0,07,29200,2015,07,14109699.41,4178539.62,광주광역시 광산구 연산동 산91,농산폐기물소각,일요일,06,20150607,2015,1637
0,41,1683,1830,41650410,06,,0,07,41650,2015,07,14172068.18,4564255.64,경기도 포천시 화현면 화현리 1160-4,등산객실화,일요일,06,20150607,2015,1610
0,45,1682,1700,45720380,06,,0,07,45720,2015,07,14181211.96,4274882.64,전라북도 진안군 부귀면 수항리 산184,기타(직접입력),일요일,06,20150607,2015,1500
