STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,1,1,13,1,3,C,26,J11113,ALL-13C,2021,,침엽수림,낙엽송,소경목,3영급,밀,임분고 25m 이상 27m미만,294.779713102,1905.03971963,35.1100609,126.9076948,광주광역시
1,1,1,13,1,3,C,28,J11113,ALL-13C,2021,2017영상판독,침엽수림,낙엽송,소경목,3영급,밀,임분고 27m 이상 29m미만,528.58682377,4736.8795071,35.1124376,126.911305,광주광역시
1,1,1,13,2,5,C,20,J11113,ALL-25C,2016,,침엽수림,낙엽송,중경목,5영급,밀,임분고 19m 이상 21m미만,460.993215286,3320.16599225,35.112586,126.8811026,광주광역시
1,1,1,14,1,3,C,22,J11114,APR-13C,,,침엽수림,리기다소나무,소경목,3영급,밀,임분고 21m 이상 23m미만,164.496859371,1466.7257281,35.10708,126.8933621,광주광역시
1,1,1,14,1,3,C,26,J11114,APR-13C,2021,,침엽수림,리기다소나무,소경목,3영급,밀,임분고 25m 이상 27m미만,1499.14502999,31493.3887928,35.1099531,126.9098475,광주광역시
1,1,1,14,1,3,C,26,J11114,APR-13C,2021,,침엽수림,리기다소나무,소경목,3영급,밀,임분고 25m 이상 27m미만,547.858642801,8325.22103312,35.111505,126.9119331,광주광역시
1,1,1,14,1,4,C,22,J11114,APR-14C,2021,,침엽수림,리기다소나무,소경목,4영급,밀,임분고 21m 이상 23m미만,529.914203677,8696.79736059,35.1128817,126.8818055,광주광역시
1,1,1,14,2,4,C,22,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 21m 이상 23m미만,469.941757842,6511.09538233,35.091661,126.911778,광주광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,1266.24584771,45553.5511032,35.0927544,126.9054068,광주광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,880.059411778,18861.1769297,35.0931604,126.9098017,광주광역시
1,1,1,14,2,4,C,26,J11114,APR-24C,2020,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 25m 이상 27m미만,431.663188988,5913.40625881,35.0937561,126.9075707,광주광역시
1,1,1,14,2,4,C,22,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 21m 이상 23m미만,236.97861243,2671.63057109,35.0953187,126.9105525,광주광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,563.159200742,5110.48151028,35.094961,126.9065088,광주광역시
1,1,1,14,2,4,C,20,J11114,APR-24C,2016,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 19m 이상 21m미만,182.273183539,1387.42735053,35.0958881,126.9087072,광주광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,572.352378358,7371.6094478,35.0954238,126.9044455,광주광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,2025,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,760.299188081,13722.8286694,35.0966831,126.9093142,광주광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,2020,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,808.923736061,12876.4563907,35.0997425,126.9034677,광주광역시
1,1,1,14,2,4,C,28,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 27m 이상 29m미만,907.429442063,15378.3784333,35.1013704,126.9107268,광주광역시
1,1,1,14,2,4,C,28,J11114,APR-24C,2020,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 27m 이상 29m미만,134.957332103,1255.62251272,35.102201,126.9121333,광주광역시
1,1,1,14,2,4,C,22,J11114,APR-24C,2020,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 21m 이상 23m미만,347.233145506,4987.81669046,35.1046474,126.9008564,광주광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,201.873488242,1875.67770244,35.1077758,126.8980801,광주광역시
1,1,1,14,2,4,C,26,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 25m 이상 27m미만,855.542216551,8893.59362415,35.1076647,126.887305,광주광역시
1,1,1,14,2,4,C,28,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 27m 이상 29m미만,139.721294894,1306.22850528,35.1106635,126.9110175,광주광역시
1,1,1,14,2,4,C,20,J11114,APR-24C,2016,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 19m 이상 21m미만,194.588618097,2006.03109305,35.1124921,126.88352,광주광역시
1,1,1,14,2,4,C,22,J11114,APR-24C,2021,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 21m 이상 23m미만,217.349894358,2479.05407692,35.1126532,126.8869667,광주광역시
1,1,1,14,2,4,C,22,J11114,APR-24C,2021,2017영상판독,침엽수림,리기다소나무,중경목,4영급,밀,임분고 21m 이상 23m미만,689.651506312,11625.4371992,35.1134332,126.8950544,광주광역시
1,1,1,14,2,5,C,28,J11114,APR-25C,2020,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 27m 이상 29m미만,124.299472126,1010.01218412,35.1016147,126.9126136,광주광역시
1,1,1,14,2,5,C,20,J11114,APR-25C,2025,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 19m 이상 21m미만,739.21392771,13840.5340571,35.1046737,126.8865156,광주광역시
1,1,1,14,2,5,C,26,J11114,APR-25C,2021,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 25m 이상 27m미만,376.83106651,3991.27115051,35.1063323,126.8911941,광주광역시
1,1,1,14,2,5,C,28,J11114,APR-25C,2021,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 27m 이상 29m미만,869.666591778,19506.8332129,35.1131577,126.9121917,광주광역시
1,1,1,14,2,5,C,22,J11114,APR-25C,2021,2017영상판독,침엽수림,리기다소나무,중경목,5영급,밀,임분고 21m 이상 23m미만,684.186496819,8522.60783759,35.1048948,126.9023049,광주광역시
1,1,1,14,2,5,C,24,J11114,APR-25C,2021,2017영상판독,침엽수림,리기다소나무,중경목,5영급,밀,임분고 23m 이상 25m미만,162.009261395,1333.14993925,35.1113551,126.8896139,광주광역시
1,1,1,14,2,5,C,20,J11114,APR-25C,2020,2017영상판독,침엽수림,리기다소나무,중경목,5영급,밀,임분고 19m 이상 21m미만,218.26721659,2298.69673642,35.1111698,126.8889821,광주광역시
1,1,1,17,0,1,A,00,J11117,ACP-01A,2021,2017조림대장반영,침엽수림,편백나무,치수,1영급,소,임분고 1m 미만,569.760892303,10671.2125683,35.1035275,126.9099911,광주광역시
1,1,1,17,1,2,A,22,J11117,ACP-12A,,,침엽수림,편백나무,소경목,2영급,소,임분고 21m 이상 23m미만,159.889953486,1666.47236354,35.0910144,126.9049088,광주광역시
1,1,1,17,1,2,C,20,J11117,ACP-12C,2021,편백조림,침엽수림,편백나무,소경목,2영급,밀,임분고 19m 이상 21m미만,562.636349956,9033.66459519,35.1099015,126.9120478,광주광역시
1,1,1,17,1,3,C,28,J11117,ACP-13C,,,침엽수림,편백나무,소경목,3영급,밀,임분고 27m 이상 29m미만,126.316843781,1188.00565181,35.1027844,126.9071705,광주광역시
1,1,1,17,1,3,C,28,J11117,ACP-13C,,,침엽수림,편백나무,소경목,3영급,밀,임분고 27m 이상 29m미만,240.181029,2401.97749486,35.1031479,126.9073289,광주광역시
1,1,1,17,2,4,B,30,J11117,ACP-24B,2016,,침엽수림,편백나무,중경목,4영급,중,임분고 29m 이상 31m미만,171.085522415,1170.70637869,35.0947773,126.9068912,광주광역시
1,1,1,18,2,4,C,20,J11118,ACJ-24C,2020,메타세콰이어,침엽수림,삼나무,중경목,4영급,밀,임분고 19m 이상 21m미만,249.796808584,1801.31637278,35.1093457,126.8935026,광주광역시
1,1,2,30,0,1,A,00,J11230,AEB-01A,2021,,활엽수림,기타활엽수,치수,1영급,소,임분고 1m 미만,401.506765755,3845.87640484,35.0984158,126.9127097,광주광역시
1,1,2,30,0,1,A,00,J11230,AEB-01A,2021,2017조림대장반영,활엽수림,기타활엽수,치수,1영급,소,임분고 1m 미만,696.994413109,6480.82303949,35.0989008,126.8805683,광주광역시
1,1,2,30,0,1,A,00,J11230,AEB-01A,2021,편백조림,활엽수림,기타활엽수,치수,1영급,소,임분고 1m 미만,428.566840443,11547.3593529,35.1091246,126.9106111,광주광역시
1,1,2,45,1,3,C,16,J11245,APO-13C,2021,,활엽수림,포플러,소경목,3영급,밀,임분고 15m 이상 17m미만,853.872051074,6184.31554559,35.1115995,126.8852576,광주광역시
1,1,2,45,1,3,C,10,J11245,APO-13C,2017,2017영상판독,활엽수림,포플러,소경목,3영급,밀,임분고 9m 이상 11m미만,429.564251042,9382.0812014,35.1032543,126.9107055,광주광역시
1,1,2,45,2,3,C,24,J11245,APO-23C,,,활엽수림,포플러,중경목,3영급,밀,임분고 23m 이상 25m미만,171.403091266,1913.45138029,35.097702,126.9114982,광주광역시
1,1,2,45,2,3,C,20,J11245,APO-23C,2021,2017영상판독,활엽수림,포플러,중경목,3영급,밀,임분고 19m 이상 21m미만,365.967906511,3846.02762917,35.0971886,126.8834473,광주광역시
1,1,2,45,2,4,B,12,J11245,APO-24B,2020,,활엽수림,포플러,중경목,4영급,중,임분고 11m 이상 13m미만,340.07285503,6616.45734928,35.1051843,126.8856599,광주광역시
1,1,2,45,2,4,C,18,J11245,APO-24C,2021,,활엽수림,포플러,중경목,4영급,밀,임분고 17m 이상 19m미만,160.786503638,1571.11940708,35.1048326,126.8908353,광주광역시
1,1,2,49,1,3,C,10,J11249,ARP-13C,,,활엽수림,아까시나무,소경목,3영급,밀,임분고 9m 이상 11m미만,277.074839548,3035.42483196,35.1077893,126.8871724,광주광역시
1,1,2,49,1,4,C,26,J11249,ARP-14C,2021,,활엽수림,아까시나무,소경목,4영급,밀,임분고 25m 이상 27m미만,168.569738899,1471.46719787,35.1083998,126.8876347,광주광역시
1,1,2,49,1,4,C,30,J11249,ARP-14C,2021,,활엽수림,아까시나무,소경목,4영급,밀,임분고 29m 이상 31m미만,196.239833522,1764.72146706,35.1084408,126.8888613,광주광역시
1,1,2,49,2,4,C,12,J11249,ARP-24C,,,활엽수림,아까시나무,중경목,4영급,밀,임분고 11m 이상 13m미만,133.391147589,1211.81613504,35.1075073,126.8881617,광주광역시
1,2,1,11,1,3,C,20,J12111,NPD-13C,2021,,침엽수림,소나무,소경목,3영급,밀,임분고 19m 이상 21m미만,319.093562166,3624.6495763,35.1025955,126.8850246,광주광역시
