STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,1,1,12,1,3,C,18,J11112,APK-13C,2015,,침엽수림,잣나무,소경목,3영급,밀,임분고 17m 이상 19m미만,422.730204054,8800.0361124,36.2193696,127.4442269,대전광역시
1,1,1,12,2,5,C,30,J11112,APK-25C,2024,,침엽수림,잣나무,중경목,5영급,밀,임분고 29m 이상 31m미만,277.127302456,3157.17162998,36.2108603,127.4414605,대전광역시
1,1,1,13,1,3,C,30,J11113,ALL-13C,2015,,침엽수림,낙엽송,소경목,3영급,밀,임분고 29m 이상 31m미만,585.56300445,12264.6017162,36.2210074,127.4437938,대전광역시
1,1,1,13,2,4,C,32,J11113,ALL-24C,2020,,침엽수림,낙엽송,중경목,4영급,밀,임분고 31m 이상 33m미만,1059.70677392,18174.2691801,36.2131452,127.4434893,대전광역시
1,1,1,13,2,4,C,28,J11113,ALL-24C,2024,,침엽수림,낙엽송,중경목,4영급,밀,임분고 27m 이상 29m미만,352.265075512,3602.23067104,36.2152499,127.4491324,대전광역시
1,1,1,13,2,4,C,28,J11113,ALL-24C,,,침엽수림,낙엽송,중경목,4영급,밀,임분고 27m 이상 29m미만,327.245710848,2753.19329233,36.2162187,127.4483414,대전광역시
1,1,1,13,2,4,C,30,J11113,ALL-24C,2020,,침엽수림,낙엽송,중경목,4영급,밀,임분고 29m 이상 31m미만,1070.58182952,21036.8163174,36.2152509,127.4430409,대전광역시
1,1,1,13,2,5,B,30,J11113,ALL-25B,2024,,침엽수림,낙엽송,중경목,5영급,중,임분고 29m 이상 31m미만,447.026312112,9344.91255873,36.2118262,127.442834,대전광역시
1,1,1,13,2,5,C,26,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 25m 이상 27m미만,288.548569661,3586.79877452,36.2021184,127.4489952,대전광역시
1,1,1,13,2,5,C,30,J11113,ALL-25C,2018,,침엽수림,낙엽송,중경목,5영급,밀,임분고 29m 이상 31m미만,380.391488434,4235.03731706,36.2032229,127.4483157,대전광역시
1,1,1,13,2,5,C,26,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 25m 이상 27m미만,2122.0161251,26239.5182359,36.2063933,127.4455159,대전광역시
1,1,1,13,2,5,C,28,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 27m 이상 29m미만,3081.10574367,66794.7270203,36.2049814,127.4401014,대전광역시
1,1,1,13,2,5,C,32,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 31m 이상 33m미만,682.930348856,18115.5278809,36.2087095,127.4412976,대전광역시
1,1,1,13,2,5,C,32,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 31m 이상 33m미만,1845.96012987,32267.6498592,36.2084901,127.4436838,대전광역시
1,1,1,13,2,5,C,32,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 31m 이상 33m미만,371.666844301,5795.87630213,36.2106203,127.4405655,대전광역시
1,1,1,13,2,5,C,32,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 31m 이상 33m미만,520.315430582,8505.59039789,36.2108471,127.4424972,대전광역시
1,1,1,13,2,5,C,30,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 29m 이상 31m미만,1111.73764301,16568.3458494,36.2118875,127.4406341,대전광역시
1,1,1,13,2,5,C,28,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 27m 이상 29m미만,311.897321671,3453.36340079,36.2124256,127.4491027,대전광역시
1,1,1,13,2,5,C,30,J11113,ALL-25C,,,침엽수림,낙엽송,중경목,5영급,밀,임분고 29m 이상 31m미만,837.290536917,12530.5975209,36.2142835,127.4518259,대전광역시
1,1,1,13,2,5,C,32,J11113,ALL-25C,2015,,침엽수림,낙엽송,중경목,5영급,밀,임분고 31m 이상 33m미만,820.864664169,18858.909965,36.2183078,127.4431668,대전광역시
1,1,1,13,2,5,C,28,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 27m 이상 29m미만,1009.51680372,13479.368811,36.2200714,127.4541068,대전광역시
1,1,1,13,2,5,C,30,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 29m 이상 31m미만,804.834837907,11878.7439978,36.2210331,127.4452826,대전광역시
1,1,1,13,2,5,C,28,J11113,ALL-25C,2015,,침엽수림,낙엽송,중경목,5영급,밀,임분고 27m 이상 29m미만,1010.60562639,32823.6240738,36.2214815,127.4532512,대전광역시
1,1,1,13,2,5,C,24,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 23m 이상 25m미만,257.152137168,4254.03329314,36.2220525,127.4580809,대전광역시
1,1,1,13,3,5,C,28,J11113,ALL-35C,2024,,침엽수림,낙엽송,대경목,5영급,밀,임분고 27m 이상 29m미만,577.300315636,12779.9430069,36.2029549,127.4434604,대전광역시
1,1,1,14,1,3,C,24,J11114,APR-13C,2015,,침엽수림,리기다소나무,소경목,3영급,밀,임분고 23m 이상 25m미만,481.438027669,6957.19886907,36.2043342,127.4402239,대전광역시
1,1,1,14,2,4,C,24,J11114,APR-24C,2024,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 23m 이상 25m미만,313.757751795,4082.21858676,36.2108876,127.4401315,대전광역시
1,1,1,14,2,4,C,22,J11114,APR-24C,2024,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 21m 이상 23m미만,417.118777554,5783.0583258,36.2185462,127.4454114,대전광역시
1,1,1,14,2,4,C,22,J11114,APR-24C,2018,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 21m 이상 23m미만,269.1896501,2427.40041479,36.2188323,127.4489904,대전광역시
