STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,2,1,11,2,4,C,08,J12111,NPD-24C,2021,,침엽수림,소나무,중경목,4영급,밀,임분고 7m 이상 9m미만,198.600340676,1813.96242822,35.2424919,129.1463367,부산광역시
1,2,1,15,2,5,C,16,J12115,NPT-25C,2020,,침엽수림,곰솔,중경목,5영급,밀,임분고 15m 이상 17m미만,156.93326249,1749.33324578,35.2391827,129.1433925,부산광역시
1,2,2,34,2,5,C,06,J12234,NQQ-25C,,,활엽수림,기타참나무류,중경목,5영급,밀,임분고 5m 이상 7m미만,351.547606089,4744.28561233,35.2427109,129.1424799,부산광역시
1,2,3,77,2,5,C,18,J12377,NMM-25C,2022,,혼효림,침활혼효림,중경목,5영급,밀,임분고 17m 이상 19m미만,760.000319392,18773.1505802,35.2386501,129.1438169,부산광역시
1,2,3,77,2,5,C,18,J12377,NMM-25C,2020,,혼효림,침활혼효림,중경목,5영급,밀,임분고 17m 이상 19m미만,934.286176251,23334.1336897,35.2404071,129.1463582,부산광역시
1,2,3,77,2,5,C,24,J12377,NMM-25C,2021,,혼효림,침활혼효림,중경목,5영급,밀,임분고 23m 이상 25m미만,656.740861192,9825.41101014,35.2414703,129.1417861,부산광역시
1,2,3,77,2,5,C,14,J12377,NMM-25C,2022,2020사유림_조림(편백),혼효림,침활혼효림,중경목,5영급,밀,임분고 13m 이상 15m미만,432.874934049,9344.19330464,35.2394158,129.1471193,부산광역시
2,0,0,82,,,,,J20085,RF,2025,,무립목지/비산림,제지,,,,,172.306595441,1608.2794109,35.2400973,129.1420284,부산광역시
2,0,0,82,,,,,J20085,RF,2025,,무립목지/비산림,제지,,,,,90.1619699312,597.713625641,35.2403488,129.1426411,부산광역시
1,2,3,77,2,4,C,14,J12377,NMM-24C,2021,,혼효림,침활혼효림,중경목,4영급,밀,임분고 13m 이상 15m미만,1002.69061552,27668.3277692,35.2404161,129.1508903,부산광역시
1,2,3,77,2,5,C,14,J12377,NMM-25C,2022,2020사유림_조림(편백),혼효림,침활혼효림,중경목,5영급,밀,임분고 13m 이상 15m미만,188.203952013,2433.13713872,35.2397073,129.1496588,부산광역시
1,1,2,30,0,1,A,00,J11230,AEB-01A,2025,,활엽수림,기타활엽수,치수,1영급,소,임분고 1m 미만,616.892821721,13005.3440456,35.2417287,129.1470852,부산광역시
