STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,1,1,12,1,2,B,18,J11112,APK-12B,2020,,침엽수림,잣나무,소경목,2영급,중,임분고 17m 이상 19m미만,264.47192756,3481.46183088,37.5414897,126.8620883,서울특별시
1,1,1,14,2,4,C,14,J11114,APR-24C,2017,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,551.025127102,8063.5205821,37.5383298,126.8612964,서울특별시
1,1,1,14,2,4,C,14,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,477.837143624,8349.90034818,37.5393343,126.8596319,서울특별시
1,1,1,14,2,4,C,02,J11114,APR-24C,2017,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 1m 이상 3m미만,375.817580617,4770.1514144,37.5402579,126.8623146,서울특별시
1,1,1,14,2,5,C,10,J11114,APR-25C,2023,,침엽수림,리기다소나무,중경목,5영급,밀,임분고 9m 이상 11m미만,284.462036372,4345.24294365,37.5406149,126.8740016,서울특별시
1,1,1,18,2,4,C,22,J11118,ACJ-24C,2017,,침엽수림,삼나무,중경목,4영급,밀,임분고 21m 이상 23m미만,241.855778626,2637.00802413,37.5393473,126.8732888,서울특별시
1,1,2,45,2,5,C,16,J11245,APO-25C,2021,,활엽수림,포플러,중경목,5영급,밀,임분고 15m 이상 17m미만,126.259077903,1094.06733104,37.5404914,126.8574254,서울특별시
1,1,2,49,2,4,C,14,J11249,ARP-24C,2017,,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,477.24666303,5301.8896287,37.5380783,126.8616729,서울특별시
1,1,2,49,2,4,C,20,J11249,ARP-24C,,,활엽수림,아까시나무,중경목,4영급,밀,임분고 19m 이상 21m미만,1545.1530243,35452.9275785,37.540512,126.8739155,서울특별시
1,1,2,49,2,5,C,14,J11249,ARP-25C,2021,,활엽수림,아까시나무,중경목,5영급,밀,임분고 13m 이상 15m미만,2817.65427933,104637.404584,37.5401731,126.8605403,서울특별시
