STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,1,1,13,2,4,C,20,J11113,ALL-24C,,,침엽수림,낙엽송,중경목,4영급,밀,임분고 19m 이상 21m미만,694.088131994,10627.9408245,36.5292481,127.2421422,세종특별자치시
1,1,1,13,2,5,C,18,J11113,ALL-25C,2024,,침엽수림,낙엽송,중경목,5영급,밀,임분고 17m 이상 19m미만,297.589007304,2564.02628611,36.5186149,127.2660596,세종특별자치시
1,1,1,14,2,4,C,28,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 27m 이상 29m미만,272.149488004,2637.56030895,36.5145461,127.2474458,세종특별자치시
1,1,1,14,2,4,C,28,J11114,APR-24C,2025,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 27m 이상 29m미만,624.91280954,6291.93051505,36.514869,127.2480276,세종특별자치시
1,1,1,14,2,4,C,32,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 31m 이상 33m미만,267.299372063,2900.72900214,36.5167538,127.2483492,세종특별자치시
1,1,1,14,2,4,C,14,J11114,APR-24C,2020,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,224.173087103,2319.46813488,36.5266662,127.2408548,세종특별자치시
1,1,1,14,2,4,C,16,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 15m 이상 17m미만,506.771177724,4638.48458568,36.5280059,127.2401693,세종특별자치시
1,1,1,14,2,4,C,14,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,105.23136219,466.132703919,36.5290776,127.2410868,세종특별자치시
1,1,1,14,2,4,C,16,J11114,APR-24C,2018,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 15m 이상 17m미만,737.282796236,12611.463753,36.5290478,127.2392532,세종특별자치시
1,1,1,14,2,4,C,14,J11114,APR-24C,2020,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,204.14605027,2212.56774445,36.5375965,127.2388683,세종특별자치시
1,1,1,14,2,4,C,14,J11114,APR-24C,,,침엽수림,리기다소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,1094.95687892,14478.4065645,36.5388577,127.2403152,세종특별자치시
