STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area,latitude,longitude,location
1,2,2,30,2,4,C,06,J12230,NEB-24C,2025,,활엽수림,기타활엽수,중경목,4영급,밀,임분고 5m 이상 7m미만,232.343909793,2344.44775621,37.6497484,126.5108897,인천광역시
1,2,2,31,2,5,C,14,J12231,NQA-25C,2020,,활엽수림,상수리나무,중경목,5영급,밀,임분고 13m 이상 15m미만,201.36697077,1989.31101682,37.6497163,126.5102958,인천광역시
1,2,2,31,2,5,C,04,J12231,NQA-25C,2025,,활엽수림,상수리나무,중경목,5영급,밀,임분고 3m 이상 5m미만,628.810844939,8975.70662296,37.6494617,126.5160305,인천광역시
1,2,3,77,2,5,C,08,J12377,NMM-25C,2023,,혼효림,침활혼효림,중경목,5영급,밀,임분고 7m 이상 9m미만,109.629859679,282.100818648,37.6499681,126.5189299,인천광역시
1,2,1,15,2,5,C,18,J12115,NPT-25C,2025,,침엽수림,곰솔,중경목,5영급,밀,임분고 17m 이상 19m미만,742.65588271,14865.5511614,37.6494206,126.5042377,인천광역시
1,2,2,31,2,5,C,06,J12231,NQA-25C,2025,,활엽수림,상수리나무,중경목,5영급,밀,임분고 5m 이상 7m미만,515.045803729,5308.51562613,37.6493875,126.5029608,인천광역시
1,2,2,31,2,5,C,04,J12231,NQA-25C,2024,,활엽수림,상수리나무,중경목,5영급,밀,임분고 3m 이상 5m미만,797.038465003,16258.5051037,37.6494059,126.4980315,인천광역시
1,2,2,31,2,5,C,06,J12231,NQA-25C,2024,,활엽수림,상수리나무,중경목,5영급,밀,임분고 5m 이상 7m미만,29.8924451306,31.2078304911,37.6499875,126.4969152,인천광역시
1,2,3,77,2,5,C,16,J12377,NMM-25C,2025,,혼효림,침활혼효림,중경목,5영급,밀,임분고 15m 이상 17m미만,228.157169689,1338.90190552,37.6498697,126.5035822,인천광역시
2,0,0,82,,,,,J20085,RF,2025,,무립목지/비산림,제지,,,,,165.673918254,1866.37863465,37.6496311,126.5031584,인천광역시
